model,step,score,reward,fires
Dueling Double DQN,229,-50.0,-160.28739925915875,35
Dueling Double DQN,460,-42.0,-152.2855786708552,31
Dueling Double DQN,689,-76.0,-186.14868360756122,38
Dueling Double DQN,918,-70.0,-180.2895321603603,35
Dueling Double DQN,1147,-72.0,-182.2719702390973,36
Dueling Double DQN,1376,-64.0,-174.28327035231223,32
Dueling Double DQN,1605,-64.0,-174.30627753094447,32
Dueling Double DQN,1834,-108.0,-218.28094356397946,54
Dueling Double DQN,2063,-68.0,-178.28271449882047,34
Dueling Double DQN,2292,-96.0,-206.27740384577208,48
Dueling Double DQN,2521,-52.0,-162.30352279190447,26
Dueling Double DQN,2750,-86.0,-196.29992038735872,43
Dueling Double DQN,2979,-72.0,-182.2932061366938,46
Dueling Double DQN,3208,-46.0,-156.30385335084088,33
Dueling Double DQN,3437,-80.0,-190.29612172132124,40
Dueling Double DQN,3666,-74.0,-184.295118045957,37
Dueling Double DQN,3895,-64.0,-174.30397896991144,32
Dueling Double DQN,4124,-60.0,-170.28273434531138,30
Dueling Double DQN,4353,-96.0,-206.28212002834445,48
Dueling Double DQN,4582,-44.0,-154.2871906819311,32
Dueling Double DQN,4811,-54.0,-164.3023529030184,37
Dueling Double DQN,5040,-82.0,-192.28880170371735,41
Dueling Double DQN,5269,-60.0,-170.30584980738627,40
Dueling Double DQN,5498,-72.0,-182.29600989013795,36
Dueling Double DQN,5727,-58.0,-168.3090068847782,29
Dueling Double DQN,5956,-60.0,-170.29941254076232,30
Dueling Double DQN,6185,-58.0,-168.25298310035728,29
Dueling Double DQN,6414,-66.0,-176.2858055417321,33
Dueling Double DQN,6643,-60.0,-170.27933976350573,30
Dueling Double DQN,6872,-72.0,-182.2989574086169,36
Dueling Double DQN,7101,-66.0,-176.3056376133858,33
Dueling Double DQN,7330,-48.0,-158.2947975537084,24
Dueling Double DQN,7559,-60.0,-170.2963477271802,40
Dueling Double DQN,7788,-84.0,-194.29794232173128,42
Dueling Double DQN,8017,-92.0,-202.2866594547626,46
Dueling Double DQN,8246,-62.0,-172.2997486973809,31
Dueling Double DQN,8475,-78.0,-188.31840778628674,39
Dueling Double DQN,8704,-64.0,-174.29958912478813,32
Dueling Double DQN,8933,-74.0,-184.2973324461243,37
Dueling Double DQN,9162,-40.0,-150.3040560526174,30
Dueling Double DQN,9391,-50.0,-160.29895698598605,25
Dueling Double DQN,9620,-66.0,-176.2984166969561,33
Dueling Double DQN,9849,-46.0,-156.3036299791542,33
Dueling Double DQN,10078,-82.0,-192.29359610613238,41
Dueling Double DQN,10307,-76.0,-186.3058129962684,38
Dueling Double DQN,10536,-74.0,-184.30785524525186,37
Dueling Double DQN,10766,-86.0,-196.2863045056526,43
Dueling Double DQN,10995,-90.0,-200.29378712840435,45
Dueling Double DQN,11224,-72.0,-182.29435306725532,36
Dueling Double DQN,11453,-62.0,-172.29390996890453,31
Dueling Double DQN,11682,-70.0,-180.2906560302755,35
Dueling Double DQN,11911,-88.0,-198.28638722425455,44
Dueling Double DQN,12140,-66.0,-176.29558292174298,33
Dueling Double DQN,12369,-58.0,-168.319974431718,29
Dueling Double DQN,12598,-64.0,-174.30332394194,32
Dueling Double DQN,12827,-62.0,-172.30788589540123,31
Dueling Double DQN,13056,-56.0,-166.29950792500608,28
Dueling Double DQN,13285,-38.0,-148.26896411573287,29
Dueling Double DQN,13514,-60.0,-170.2575415363001,30
Dueling Double DQN,13743,-64.0,-174.2977321326353,32
Dueling Double DQN,13972,-64.0,-174.31726804172143,32
Dueling Double DQN,14201,-58.0,-168.3005353048035,29
Dueling Double DQN,14430,-70.0,-180.289471742864,35
Dueling Double DQN,14659,-40.0,-150.29993039639598,30
Dueling Double DQN,14888,-40.0,-150.2674148795322,20
Dueling Double DQN,15117,-46.0,-156.27817176754706,33
Dueling Double DQN,15346,-54.0,-164.3248215672786,37
Dueling Double DQN,15575,-72.0,-182.28368938025216,36
Dueling Double DQN,15804,-38.0,-148.26377074851246,29
Dueling Double DQN,16033,-58.0,-168.28856923690577,29
Dueling Double DQN,16262,-48.0,-158.27846573432677,24
Dueling Double DQN,16491,-56.0,-166.2735005775675,28
Dueling Double DQN,16720,-40.0,-150.30358165005708,20
Dueling Double DQN,16949,-64.0,-174.2841966656538,32
