episode,score,reward,fires,steps,hit_rate,reason
1,824.0,633.2693013837578,188,2666,0.3191489361702128,MAGENTA vehicle reached the Hunter!
2,52.0,-58.6827487267372,4,232,0.75,CYAN vehicle reached the Hunter!
3,800.0,649.4570417606515,170,2632,0.3352941176470588,CHARTREUSE vehicle reached the Hunter!
4,28.0,-82.28514239914912,6,229,0.3333333333333333,RED vehicle reached the Hunter!
5,1640.0,1486.210099617507,220,3828,0.4727272727272727,GOLD vehicle reached the Hunter!
6,1522.0,1391.526544912288,219,3828,0.4474885844748858,HOTPINK vehicle reached the Hunter!
7,102.0,-8.279035830827382,49,643,0.20408163265306123,CYAN vehicle reached the Hunter!
8,786.0,655.9890475276947,157,2628,0.3503184713375796,CHARTREUSE vehicle reached the Hunter!
9,1072.0,941.7191330278548,124,2628,0.532258064516129,DEEPSKYBLUE vehicle reached the Hunter!
10,48.0,-61.98195058746387,6,235,0.5,CYAN vehicle reached the Hunter!
