episode,score,reward,fires,steps,hit_rate,reason
1,376.0,265.69413194637156,62,1357,0.4032258064516129,ORANGE vehicle reached the Hunter!
2,52.0,-58.830058880085595,4,232,0.75,CYAN vehicle reached the Hunter!
3,1080.0,929.0335111776626,170,2969,0.4176470588235294,LIME vehicle reached the Hunter!
4,12.0,-98.28830110292917,4,229,0.25,RED vehicle reached the Hunter!
5,376.0,265.71106954288217,82,1429,0.32926829268292684,LIME vehicle reached the Hunter!
6,926.0,792.9493295512021,147,2654,0.41496598639455784,CHARTREUSE vehicle reached the Hunter!
7,1616.0,1446.0167449544856,212,3828,0.4811320754716981,GOLD vehicle reached the Hunter!
8,1372.0,1229.9979817443366,174,3537,0.4942528735632184,MAGENTA vehicle reached the Hunter!
9,1044.0,913.719825496242,148,2855,0.4527027027027027,CHARTREUSE vehicle reached the Hunter!
10,50.0,-59.98195058746387,5,235,0.6,CYAN vehicle reached the Hunter!
