model,step,score,reward,fires
Dueling Double DQN,229,-74.0,-184.28731975088195,37
Dueling Double DQN,458,-58.0,-167.70635661892368,39
Dueling Double DQN,687,-80.0,-190.30675172074933,40
Dueling Double DQN,916,-58.0,-168.31065801066586,29
Dueling Double DQN,1145,-76.0,-186.28424267590904,38
Dueling Double DQN,1374,-72.0,-182.28626212919005,36
Dueling Double DQN,1603,-60.0,-170.2903007179814,40
Dueling Double DQN,1832,-64.0,-174.30533044362855,32
Dueling Double DQN,2061,-56.0,-166.31664598121154,38
Dueling Double DQN,2290,-56.0,-166.2870002891396,28
Dueling Double DQN,2519,-112.0,-222.3122659122928,56
Dueling Double DQN,2748,-78.0,-188.2884606114393,39
Dueling Double DQN,2977,-90.0,-200.2831012701375,45
Dueling Double DQN,3206,-64.0,-174.31149398257844,42
Dueling Double DQN,3435,-74.0,-184.3077320903531,37
Dueling Double DQN,3664,-82.0,-192.3057600966555,41
Dueling Double DQN,3893,-82.0,-192.30774237737333,41
Dueling Double DQN,4122,-66.0,-176.322469284904,43
Dueling Double DQN,4351,-84.0,-194.29961368597122,42
Dueling Double DQN,4580,-48.0,-158.30894604850167,44
Dueling Double DQN,4809,-70.0,-180.28505811634128,35
Dueling Double DQN,5038,-64.0,-174.28952665053814,32
Dueling Double DQN,5267,-76.0,-186.29581013548471,48
Dueling Double DQN,5496,-58.0,-168.30644112512206,29
Dueling Double DQN,5725,-68.0,-178.08659562917435,44
Dueling Double DQN,5954,-72.0,-182.29754817972426,36
Dueling Double DQN,6183,-54.0,-164.30031226744805,37
Dueling Double DQN,6412,-64.0,-174.27544444541172,32
Dueling Double DQN,6641,-62.0,-172.27678503356645,41
Dueling Double DQN,6870,-84.0,-194.3073685186854,42
Dueling Double DQN,7099,-54.0,-164.28549427877826,37
Dueling Double DQN,7328,-72.0,-182.27832282059472,36
Dueling Double DQN,7557,-46.0,-156.3087541424228,33
Dueling Double DQN,7786,-46.0,-156.3058804647757,33
Dueling Double DQN,8018,-74.0,-183.64684109331623,37
Dueling Double DQN,8247,-64.0,-174.3150417285736,32
Dueling Double DQN,8476,-80.0,-190.2918804033784,40
Dueling Double DQN,8705,-78.0,-188.31545815079338,39
Dueling Double DQN,8934,-60.0,-170.2870831765228,40
Dueling Double DQN,9163,-52.0,-162.26553522368056,36
Dueling Double DQN,9392,-62.0,-172.3204963977269,31
Dueling Double DQN,9621,-64.0,-174.2865013096956,32
Dueling Double DQN,9850,-68.0,-178.3013034043031,34
Dueling Double DQN,10079,-66.0,-176.29553894613917,33
Dueling Double DQN,10308,-86.0,-196.30784437743506,43
Dueling Double DQN,10537,-56.0,-166.2921982509637,38
Dueling Double DQN,10766,-42.0,-152.2911066249344,31
Dueling Double DQN,10995,-74.0,-184.3114476195142,37
Dueling Double DQN,11224,-56.0,-166.29996398975595,28
Dueling Double DQN,11453,-60.0,-170.29450701481437,30
Dueling Double DQN,11682,-66.0,-176.28066412491603,33
Dueling Double DQN,11911,-74.0,-184.27499907088128,37
Dueling Double DQN,12140,-64.0,-174.29918160133275,32
Dueling Double DQN,12369,-66.0,-176.29528189078087,33
Dueling Double DQN,12598,-48.0,-158.30457355208492,34
Dueling Double DQN,12827,-72.0,-182.28259564005492,36
Dueling Double DQN,13056,-36.0,-146.30345918056585,38
Dueling Double DQN,13285,-72.0,-182.31799471026915,36
Dueling Double DQN,13514,-38.0,-148.3015264524004,29
Dueling Double DQN,13743,-84.0,-194.28442512479205,42
Dueling Double DQN,13972,-86.0,-196.2977321326353,43
Dueling Double DQN,14201,-88.0,-198.31726804172143,44
Dueling Double DQN,14430,-82.0,-192.3005353048035,41
Dueling Double DQN,14659,-52.0,-162.29642331152513,36
Dueling Double DQN,14888,-62.0,-172.2747966381391,31
Dueling Double DQN,15117,-68.0,-178.3007457205211,44
Dueling Double DQN,15346,-60.0,-170.24714894444153,30
Dueling Double DQN,15575,-72.0,-182.31292027669272,36
Dueling Double DQN,15804,-74.0,-184.28548622748883,37
Dueling Double DQN,16033,-66.0,-176.28885449969874,43
Dueling Double DQN,16262,-64.0,-174.2918873492255,42
Dueling Double DQN,16491,-70.0,-180.28093579483033,35
Dueling Double DQN,16720,-80.0,-190.28864549996797,40
Dueling Double DQN,16949,-54.0,-164.30096720371216,37
Dueling Double DQN,17178,-80.0,-190.26892025527175,40
Dueling Double DQN,17407,-80.0,-190.2924348232781,40
Dueling Double DQN,17636,-48.0,-158.29872680222797,24
Dueling Double DQN,17865,-58.0,-168.27212834610117,39
Dueling Double DQN,18094,-68.0,-178.29817894367014,34
Dueling Double DQN,18323,-90.0,-200.3050037877844,45
Dueling Double DQN,18552,-48.0,-158.30436839208073,34
Dueling Double DQN,18781,-70.0,-180.29405017652044,35
Dueling Double DQN,19010,-72.0,-182.30011684549066,36
Dueling Double DQN,19239,-76.0,-186.30006494717654,38
Dueling Double DQN,19468,-50.0,-160.31608038382302,35
Dueling Double DQN,19697,-76.0,-186.29313111118762,38
Dueling Double DQN,19926,-84.0,-194.28061397318373,42
Dueling Double DQN,20155,-84.0,-194.29182378526667,42
Dueling Double DQN,20384,-62.0,-172.30228081275007,31
Dueling Double DQN,20613,-86.0,-196.29565250093805,43
Dueling Double DQN,20842,-74.0,-184.27706343632846,37
Dueling Double DQN,21071,-80.0,-190.2974538537215,40
Dueling Double DQN,21300,-84.0,-194.2810666662835,42
Dueling Double DQN,21529,-98.0,-208.30388462115803,49
