model,timesteps,mean_score,max_score,min_score,mean_reward,mean_fires,mean_steps,mean_hit_rate,eval_episodes,action6_used
Hierarchical PPO,25000,543.2,1656.0,22.0,581.7408966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,50000,543.2,1656.0,22.0,581.7408966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,75000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,100000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,125000,543.2,1656.0,22.0,581.6848966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,150000,14.4,18.0,0.0,-89.8563855314859,0.8,229.0,0.8,5,False
Hierarchical PPO,175000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,200000,557.2,1726.0,22.0,600.1121562580051,59.4,1435.2,0.5378650014867677,5,False
Hierarchical PPO,225000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,250000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,275000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,300000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,325000,519.2,1592.0,30.0,557.6414012608122,54.4,1428.8,0.5434453518989601,5,False
Hierarchical PPO,350000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,375000,584.4,1656.0,22.0,636.8670111909516,63.8,1503.8,0.5309181264254803,5,False
Hierarchical PPO,400000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,425000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,450000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,475000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,500000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,525000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,550000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,575000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,600000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,625000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,650000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,675000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,700000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,725000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,750000,565.6,1744.0,34.0,597.556463634318,57.2,1428.8,0.5584761904761903,5,False
Hierarchical PPO,775000,30.8,50.0,0.0,-68.84366515926767,2.6,229.2,0.5866666666666667,5,False
Hierarchical PPO,800000,-0.4,0.0,-2.0,-108.01727786783192,0.2,229.0,0.0,5,False
Hierarchical PPO,825000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,850000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,875000,14.4,18.0,0.0,-89.79890008997344,0.8,229.0,0.8,5,False
Hierarchical PPO,900000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,925000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,950000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,975000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,1000000,543.2,1656.0,22.0,581.5528966817345,58.4,1435.2,0.5366299469604243,5,False
