model,step,score,reward,fires
Dueling Double DQN,229,-82.0,-192.28731975088198,41
Dueling Double DQN,458,-52.0,-162.28526878920354,36
Dueling Double DQN,687,-54.0,-164.30398261568098,37
Dueling Double DQN,916,-104.0,-214.29534706094836,52
Dueling Double DQN,1145,-92.0,-202.2692727301894,46
Dueling Double DQN,1374,-66.0,-176.2881298510451,33
Dueling Double DQN,1603,-80.0,-190.30375827464707,40
Dueling Double DQN,1832,-54.0,-164.2882854048524,37
Dueling Double DQN,2061,-78.0,-188.30798531013414,49
Dueling Double DQN,2290,-66.0,-176.28873235360874,33
Dueling Double DQN,2519,-50.0,-160.29289225599018,35
Dueling Double DQN,2748,-84.0,-194.295188020268,42
Dueling Double DQN,2977,-58.0,-168.27671650701745,29
Dueling Double DQN,3206,-60.0,-170.3021784597473,30
Dueling Double DQN,3435,-64.0,-174.28392771255602,32
Dueling Double DQN,3664,-70.0,-180.30599696792575,35
Dueling Double DQN,3893,-80.0,-190.30659300677422,40
Dueling Double DQN,4122,-58.0,-168.28584306852687,39
Dueling Double DQN,4351,-70.0,-180.3005324385066,35
Dueling Double DQN,4580,-42.0,-152.2940141459586,31
Dueling Double DQN,4809,-58.0,-168.30152502522873,39
Dueling Double DQN,5038,-64.0,-174.30157842840302,32
Dueling Double DQN,5267,-42.0,-151.67169889744744,31
Dueling Double DQN,5496,-80.0,-190.30057971218696,40
Dueling Double DQN,5725,-62.0,-172.30379714980648,31
Dueling Double DQN,5954,-78.0,-188.29161906594925,39
Dueling Double DQN,6186,-54.0,-164.18258284628058,37
Dueling Double DQN,6415,-74.0,-184.28279786072792,37
Dueling Double DQN,6644,-42.0,-152.3026657714059,21
Dueling Double DQN,6873,-54.0,-164.29034623420625,27
Dueling Double DQN,7102,-66.0,-176.28767040873458,33
Dueling Double DQN,7331,-44.0,-154.29695622324385,22
Dueling Double DQN,7560,-66.0,-176.29048296132538,33
Dueling Double DQN,7789,-74.0,-184.31209810930625,37
Dueling Double DQN,8018,-42.0,-152.2939649343112,31
Dueling Double DQN,8250,-78.0,-188.03720929701518,39
Dueling Double DQN,8479,-46.0,-156.30622764817932,23
Dueling Double DQN,8708,-72.0,-182.29658059423167,36
Dueling Double DQN,8937,-70.0,-180.3066886982173,35
Dueling Double DQN,9166,-58.0,-168.2954439762159,29
Dueling Double DQN,9395,-66.0,-176.2967420129322,33
Dueling Double DQN,9624,-72.0,-182.28814039029072,36
Dueling Double DQN,9854,-32.0,-142.23221841545163,26
Dueling Double DQN,10083,-38.0,-148.29815130882776,29
Dueling Double DQN,10312,-62.0,-172.312692908657,31
Dueling Double DQN,10541,-76.0,-186.3073970447624,38
Dueling Double DQN,10770,-52.0,-162.31441673514215,26
Dueling Double DQN,10999,-54.0,-164.2888779353488,37
Dueling Double DQN,11228,-58.0,-168.29532035381595,29
Dueling Double DQN,11457,-54.0,-164.28808140160925,37
Dueling Double DQN,11686,-74.0,-184.28726732714335,37
Dueling Double DQN,11915,-44.0,-154.31071997893025,32
Dueling Double DQN,12144,-32.0,-142.2804445046863,26
Dueling Double DQN,12373,-60.0,-170.29487895864494,30
Dueling Double DQN,12602,-60.0,-170.31211919985444,30
Dueling Double DQN,12831,-32.0,-142.2842232933284,26
Dueling Double DQN,13060,-70.0,-180.30723029090345,35
Dueling Double DQN,13289,-50.0,-160.16422331215855,35
Dueling Double DQN,13518,-68.0,-178.30259261457073,34
Dueling Double DQN,13747,-42.0,-152.28441408702,31
Dueling Double DQN,13976,-48.0,-158.30526426304755,34
Dueling Double DQN,14205,-42.0,-152.31308035196534,31
Dueling Double DQN,14434,-28.0,-138.29611648171564,24
Dueling Double DQN,14663,-56.0,-166.28592393222885,28
Dueling Double DQN,14892,-38.0,-148.29038399803122,19
Dueling Double DQN,15121,-54.0,-164.29631565695647,27
Dueling Double DQN,15350,-72.0,-182.29909507717744,36
Dueling Double DQN,15579,-68.0,-178.31617941292046,34
Dueling Double DQN,15808,-50.0,-160.29780477928736,25
Dueling Double DQN,16037,-80.0,-190.28865938320087,40
Dueling Double DQN,16266,-52.0,-162.28491513267255,26
Dueling Double DQN,16495,-16.0,-126.26302444157449,18
Dueling Double DQN,16724,-24.0,-134.27981907495183,22
Dueling Double DQN,16953,-20.0,-130.29938284511522,20
Dueling Double DQN,17182,-38.0,-148.29812421217503,19
Dueling Double DQN,17411,-32.0,-142.29770013530862,26
Dueling Double DQN,17640,-50.0,-160.24023375192385,35
Dueling Double DQN,17869,-52.0,-162.30116115299145,26
Dueling Double DQN,18098,-70.0,-180.2964821962159,35
