model,timesteps,mean_score,max_score,min_score,mean_reward,mean_fires,mean_steps,mean_hit_rate,eval_episodes,action6_used
A2C,25000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,50000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,75000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,100000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,125000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,150000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,175000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,200000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,225000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,250000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
