model,timesteps,mean_score,max_score,min_score,mean_reward,mean_fires,mean_steps,mean_hit_rate,eval_episodes,action6_used
Hierarchical PPO,25000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,50000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,75000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,100000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,125000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,150000,0.0,0.0,0.0,-107.77727786783191,0.0,229.0,0.0,5,False
Hierarchical PPO,175000,16.4,34.0,0.0,-86.6310493117599,1.8,229.0,0.4333333333333333,5,False
Hierarchical PPO,200000,543.2,1656.0,22.0,581.4648966817346,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,225000,543.2,1656.0,22.0,581.4648966817346,58.4,1435.2,0.5366299469604243,5,False
Hierarchical PPO,250000,668.0,1636.0,34.0,717.5326342090212,66.0,1673.8,0.5785039941902687,5,False
