episode,seed,score,passed_1500,fires,high_fire_modes,steps,original_reward_sum,shaped_reward_sum,reason
1,9000,910.0,False,0,2628,2628,799.7148519831652,1343.4297053700457,CHARTREUSE vehicle reached the Hunter!
2,9001,904.0,False,0,2637,2653,774.2624588312704,1237.7746600737166,DEEPSKYBLUE vehicle reached the Hunter!
3,9002,608.0,False,0,1823,1833,488.9700737819865,798.7063154230293,CYAN vehicle reached the Hunter!
4,9003,1638.0,True,0,3829,3833,1447.5719700097447,2499.001076850839,CORAL vehicle reached the Hunter!
5,9004,1402.0,False,0,3474,3507,1218.579303038014,1926.0748462032263,MAGENTA vehicle reached the Hunter!
6,9005,394.0,False,0,1451,1459,283.6766728301966,510.70124234637825,ORANGE vehicle reached the Hunter!
7,9006,1210.0,False,0,3197,3197,1072.1268630829575,1658.1479782810973,DEEPSKYBLUE vehicle reached the Hunter!
8,9007,1624.0,True,0,3754,3828,1392.3638976843513,2296.752230203889,GOLD vehicle reached the Hunter!
9,9008,98.0,False,0,480,480,-12.282708118318382,-40.268501613496625,ORANGE vehicle reached the Hunter!
10,9009,994.0,False,0,2637,2638,881.237276730652,1493.6030030585512,RED vehicle reached the Hunter!
11,9010,1032.0,False,0,2892,2904,901.5623925172118,1477.1461413918794,CHARTREUSE vehicle reached the Hunter!
12,9011,1744.0,True,0,3810,3828,1473.1797097285992,2450.280625131978,GOLD vehicle reached the Hunter!
13,9012,1738.0,True,0,3831,3833,1546.456985191091,2547.5298823392277,YELLOW vehicle reached the Hunter!
14,9013,34.0,False,0,231,231,-76.13952408040083,-136.37843030655898,CYAN vehicle reached the Hunter!
15,9014,1706.0,True,0,3820,3833,1570.852853367956,2572.632299383325,TURQUOISE vehicle reached the Hunter!
16,9015,1766.0,True,0,3813,3828,1555.7303564214615,2554.658760743134,TURQUOISE vehicle reached the Hunter!
17,9016,964.0,False,0,2634,2634,828.1298841936052,1438.513433993526,DEEPSKYBLUE vehicle reached the Hunter!
18,9017,50.0,False,0,232,232,-60.15611943589532,-132.09676910744992,ORANGE vehicle reached the Hunter!
19,9018,1604.0,True,0,3688,3692,1444.7399728818725,2341.529720272629,DEEPSKYBLUE vehicle reached the Hunter!
20,9019,52.0,False,0,235,235,-58.9654958307603,-135.4387281381944,CYAN vehicle reached the Hunter!
21,9020,738.0,False,0,2352,2411,626.7124852555069,1018.9980118935391,RED vehicle reached the Hunter!
22,9021,50.0,False,0,230,230,-60.28579109611648,-151.50541061821122,ORANGE vehicle reached the Hunter!
23,9022,444.0,False,0,1491,1527,330.23878958023795,578.0676569203264,CYAN vehicle reached the Hunter!
24,9023,1238.0,False,0,3219,3219,1104.0097899221362,1733.0096812938646,YELLOW vehicle reached the Hunter!
25,9024,1792.0,True,0,3820,3828,1661.4079816475094,2776.0316443291003,CORAL vehicle reached the Hunter!
26,9025,428.0,False,0,1420,1467,317.7251087584468,541.4360114493311,CYAN vehicle reached the Hunter!
27,9026,414.0,False,0,1429,1429,304.02562121987285,527.5182685005658,YELLOW vehicle reached the Hunter!
28,9027,1680.0,True,0,3817,3828,1508.1330046917947,2493.2234694602107,HOTPINK vehicle reached the Hunter!
29,9028,434.0,False,0,1491,1513,323.73457644853397,577.8994046059572,RED vehicle reached the Hunter!
30,9029,890.0,False,0,2613,2628,759.7307460391871,1311.7263957298178,DEEPSKYBLUE vehicle reached the Hunter!
31,9030,32.0,False,0,231,231,-78.15466996256117,-164.4324175030351,ORANGE vehicle reached the Hunter!
32,9031,754.0,False,0,2321,2348,643.724810529041,1027.7358585074412,ORANGE vehicle reached the Hunter!
33,9032,354.0,False,0,1409,1434,243.89853015501325,419.3829108532184,YELLOW vehicle reached the Hunter!
34,9033,802.0,False,0,2471,2475,651.7188273449401,1102.0160588093297,MAGENTA vehicle reached the Hunter!
35,9034,1632.0,True,0,3825,3847,1493.0419193763546,2389.1992175979435,YELLOW vehicle reached the Hunter!
36,9035,1666.0,True,0,3812,3829,1510.4442990857094,2403.531592310048,HOTPINK vehicle reached the Hunter!
