model,timesteps,mean_score,max_score,min_score,mean_reward,mean_fires,mean_steps,mean_hit_rate,eval_episodes,action6_used
Dueling Double DQN,25000,-2.8,0.0,-10.0,-113.09348057798358,1.4,229.0,0.0,5,False
Dueling Double DQN,50000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,75000,-5.6,0.0,-28.0,-115.89348057798358,2.8,229.0,0.0,5,False
Dueling Double DQN,100000,-8.4,0.0,-16.0,-118.69348057798359,4.2,229.0,0.0,5,False
Dueling Double DQN,125000,-1.2,0.0,-2.0,-111.49348057798359,0.6,229.0,0.0,5,False
Dueling Double DQN,150000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,175000,-2.0,0.0,-8.0,-112.29348057798359,1.0,229.0,0.0,5,False
Dueling Double DQN,200000,3.2,18.0,-2.0,-107.09348019956956,0.4,229.0,0.2,5,False
Dueling Double DQN,225000,-6.8,0.0,-18.0,-117.09348057798358,3.4,229.0,0.0,5,False
Dueling Double DQN,250000,-118.0,-46.0,-192.0,-228.29348057798356,59.0,229.0,0.0,5,False
Dueling Double DQN,275000,-23.6,-16.0,-32.0,-133.89348057798355,11.8,229.0,0.0,5,False
Dueling Double DQN,300000,-139.6,-78.0,-178.0,-249.89348057798355,69.8,229.0,0.0,5,False
Dueling Double DQN,325000,-28.4,-14.0,-40.0,-138.69348057798356,14.2,229.0,0.0,5,False
Dueling Double DQN,350000,-10.0,-6.0,-12.0,-120.29348057798359,5.0,229.0,0.0,5,False
Dueling Double DQN,375000,-36.4,-12.0,-114.0,-146.69348057798356,18.2,229.0,0.0,5,False
Dueling Double DQN,400000,-44.0,-16.0,-140.0,-154.29348057798356,22.0,229.0,0.0,5,False
Dueling Double DQN,425000,-58.4,-40.0,-110.0,-168.69348057798356,29.2,229.0,0.0,5,False
Dueling Double DQN,450000,-55.6,-34.0,-96.0,-165.89429452320195,29.8,229.0,0.0034482758620689655,5,False
Dueling Double DQN,475000,-84.4,-28.0,-116.0,-194.6934805779836,42.2,229.0,0.0,5,False
