model,timesteps,mean_score,max_score,min_score,mean_reward,mean_fires,mean_steps,mean_hit_rate,eval_episodes,action6_used
PPO,25000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,50000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,75000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,100000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,125000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,150000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,175000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,200000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,225000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,250000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,275000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,300000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,325000,-1.6,0.0,-8.0,-111.89348057798358,0.8,229.0,0.0,5,False
PPO,350000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,375000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,400000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,425000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,450000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,475000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,500000,2.4,12.0,0.0,-107.89348023424706,0.8,229.0,0.05,5,False
PPO,525000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,550000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,575000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,600000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,625000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,650000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,675000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,700000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,725000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,750000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,775000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,800000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,825000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,850000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,875000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,900000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,925000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,950000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,975000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1000000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1025000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1050000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1075000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1100000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1125000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1150000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1175000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1200000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1225000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1250000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1275000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1300000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1325000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1350000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1375000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1400000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1425000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1450000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1475000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1500000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1525000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1550000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1575000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1600000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1625000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1650000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1675000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1700000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1725000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1750000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1775000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1800000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1825000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,1850000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
