model,step,score,reward,fires
Dueling Double DQN,229,-62.0,-172.29375510914093,41
Dueling Double DQN,458,-94.0,-204.29486062475587,47
Dueling Double DQN,687,-66.0,-176.27744527316767,33
Dueling Double DQN,916,-66.0,-176.2895321603603,33
Dueling Double DQN,1145,-66.0,-176.2719702390973,33
Dueling Double DQN,1374,-82.0,-192.28327035231223,41
Dueling Double DQN,1603,-64.0,-174.3062775309445,32
Dueling Double DQN,1832,-70.0,-180.28094356397943,35
Dueling Double DQN,2061,-74.0,-184.28271449882047,37
Dueling Double DQN,2290,-88.0,-198.27740384577208,44
Dueling Double DQN,2519,-86.0,-196.30352279190447,43
Dueling Double DQN,2748,-60.0,-170.29992038735872,30
Dueling Double DQN,2977,-66.0,-176.29473544840062,33
Dueling Double DQN,3206,-78.0,-188.30972876856924,39
Dueling Double DQN,3435,-72.0,-182.28587479974556,36
Dueling Double DQN,3664,-80.0,-190.30627929000616,40
Dueling Double DQN,3893,-66.0,-176.2978582397484,43
Dueling Double DQN,4122,-86.0,-196.29692132684158,43
Dueling Double DQN,4351,-62.0,-172.28925100588364,41
Dueling Double DQN,4580,-78.0,-188.28027347088778,49
Dueling Double DQN,4809,-66.0,-176.30555700712716,43
Dueling Double DQN,5038,-76.0,-186.28760559901679,38
Dueling Double DQN,5267,-60.0,-170.30428341338342,30
Dueling Double DQN,5496,-42.0,-152.28113841384493,31
Dueling Double DQN,5725,-68.0,-178.30623533749338,34
Dueling Double DQN,5954,-74.0,-184.30062363479095,37
Dueling Double DQN,6183,-100.0,-210.2758934339713,50
Dueling Double DQN,6412,-62.0,-172.3040881911946,41
Dueling Double DQN,6641,-68.0,-178.29054257662506,44
Dueling Double DQN,6870,-74.0,-184.279137072066,37
Dueling Double DQN,7099,-66.0,-176.26415711971572,43
Dueling Double DQN,7328,-52.0,-162.27651724191307,36
Dueling Double DQN,7557,-52.0,-162.28901895001587,36
Dueling Double DQN,7786,-76.0,-186.31037005711903,38
Dueling Double DQN,8015,-60.0,-170.29942259409722,30
Dueling Double DQN,8244,-98.0,-208.30552325274033,49
Dueling Double DQN,8473,-68.0,-178.30242286127935,44
Dueling Double DQN,8702,-48.0,-158.31337091837617,34
Dueling Double DQN,8931,-76.0,-186.30499889488172,38
Dueling Double DQN,9160,-70.0,-180.30384301351052,35
Dueling Double DQN,9389,-84.0,-194.2862178467463,42
Dueling Double DQN,9618,-94.0,-204.30055295453872,47
Dueling Double DQN,9847,-66.0,-176.302542421967,33
Dueling Double DQN,10076,-78.0,-188.29884337279003,39
Dueling Double DQN,10305,-74.0,-184.30858537022357,37
Dueling Double DQN,10534,-84.0,-194.2871112008292,42
Dueling Double DQN,10763,-64.0,-174.30576164807908,42
Dueling Double DQN,10992,-64.0,-174.30888954038437,42
Dueling Double DQN,11221,-88.0,-198.29930955716515,44
Dueling Double DQN,11450,-76.0,-186.30231379063974,38
Dueling Double DQN,11679,-72.0,-182.29089722407434,36
Dueling Double DQN,11908,-88.0,-198.30343484762847,44
Dueling Double DQN,12137,-42.0,-152.2776696854851,31
Dueling Double DQN,12366,-48.0,-158.29764362008302,34
Dueling Double DQN,12602,-34.0,-144.2351603779264,27
Dueling Double DQN,12831,-54.0,-164.28181480466608,37
Dueling Double DQN,13060,-72.0,-182.3059566191675,36
Dueling Double DQN,13289,-66.0,-176.30514087852126,43
Dueling Double DQN,13518,-70.0,-180.3007360691799,45
Dueling Double DQN,13747,-76.0,-186.3106788298556,48
Dueling Double DQN,13976,-72.0,-182.2991648102972,36
Dueling Double DQN,14205,-44.0,-154.2926984411648,32
Dueling Double DQN,14434,-90.0,-200.28923231154135,45
Dueling Double DQN,14663,-66.0,-176.2856579266093,33
Dueling Double DQN,14892,-74.0,-184.31056940396567,37
Dueling Double DQN,15121,-46.0,-156.30291305851475,33
Dueling Double DQN,15350,-78.0,-188.29712252945467,39
Dueling Double DQN,15579,-58.0,-168.30102531929214,39
Dueling Double DQN,15808,-56.0,-166.29938208133308,28
Dueling Double DQN,16037,-60.0,-170.3017613377749,40
Dueling Double DQN,16266,-94.0,-204.29815144691847,47
Dueling Double DQN,16495,-60.0,-170.30499215359453,40
Dueling Double DQN,16724,-42.0,-152.29595556622718,31
Dueling Double DQN,16953,-62.0,-172.2975775461694,31
Dueling Double DQN,17182,-72.0,-182.29202617811657,36
Dueling Double DQN,17411,-66.0,-176.28994119510625,33
Dueling Double DQN,17640,-62.0,-172.29410400759866,31
Dueling Double DQN,17869,-82.0,-192.3024909799888,41
Dueling Double DQN,18098,-58.0,-168.28087792137626,29
Dueling Double DQN,18327,-44.0,-154.302764395802,32
Dueling Double DQN,18556,-52.0,-162.30307908890768,36
Dueling Double DQN,18785,-74.0,-184.2834768249711,37
Dueling Double DQN,19014,-54.0,-164.31461958355573,37
Dueling Double DQN,19243,-72.0,-182.29827945252242,36
Dueling Double DQN,19472,-50.0,-160.29347681173488,35
Dueling Double DQN,19701,-76.0,-186.28734322523275,38
Dueling Double DQN,19930,-44.0,-154.29040479418597,32
Dueling Double DQN,20159,-50.0,-160.28366040824642,35
Dueling Double DQN,20388,-86.0,-196.30063810239417,43
Dueling Double DQN,20617,-44.0,-154.30601613925197,32
Dueling Double DQN,20846,-48.0,-158.27331871701637,34
Dueling Double DQN,21075,-70.0,-180.28983307720432,35
Dueling Double DQN,21304,-98.0,-208.2942105471086,49
Dueling Double DQN,21533,-66.0,-176.2935632617834,33
Dueling Double DQN,21762,-72.0,-182.28839169614713,46
Dueling Double DQN,21991,-76.0,-186.30859785871124,38
Dueling Double DQN,22220,-64.0,-174.3040050207512,32
Dueling Double DQN,22449,-72.0,-182.2926420918523,36
Dueling Double DQN,22678,-72.0,-182.311604397956,36
Dueling Double DQN,22907,-46.0,-156.2810130252392,33
Dueling Double DQN,23136,-62.0,-172.2988030672355,41
Dueling Double DQN,23365,-66.0,-176.30346291278755,33
Dueling Double DQN,23594,-66.0,-176.30447729626627,33
Dueling Double DQN,23823,-84.0,-194.28043246727418,42
Dueling Double DQN,24052,-48.0,-158.3028330316648,34
Dueling Double DQN,24281,-68.0,-178.12706840754907,34
Dueling Double DQN,24510,-68.0,-178.30914240730476,34
Dueling Double DQN,24739,-90.0,-200.29021339669373,45
Dueling Double DQN,24968,-60.0,-170.29051554543807,30
Dueling Double DQN,25197,-92.0,-202.27854092062978,46
Dueling Double DQN,25427,-46.0,-156.71193517779545,33
Dueling Double DQN,25656,-56.0,-166.2941939539266,28
Dueling Double DQN,25885,-78.0,-188.28531675843362,39
Dueling Double DQN,26114,-62.0,-172.29938876853473,41
Dueling Double DQN,26343,-90.0,-200.28340770832995,45
Dueling Double DQN,26572,-62.0,-172.29035765366942,31
Dueling Double DQN,26801,-42.0,-152.301309468657,31
Dueling Double DQN,27030,-92.0,-202.25151073111672,46
Dueling Double DQN,27259,-36.0,-146.3008783516546,28
Dueling Double DQN,27488,-80.0,-190.29306064158231,40
Dueling Double DQN,27717,-54.0,-164.29016343713863,37
Dueling Double DQN,27946,-64.0,-174.30194019824324,32
Dueling Double DQN,28175,-64.0,-174.2949379392823,32
Dueling Double DQN,28404,-48.0,-158.29122085044446,24
Dueling Double DQN,28633,-40.0,-150.30252366591296,30
Dueling Double DQN,28862,-98.0,-208.29356314687948,49
Dueling Double DQN,29091,-68.0,-178.29722053230836,34
Dueling Double DQN,29320,-78.0,-188.29216037132676,39
Dueling Double DQN,29549,-56.0,-166.29784983986744,28
Dueling Double DQN,29778,-56.0,-166.29639690344393,28
Dueling Double DQN,30007,-50.0,-160.2803801708796,35
Dueling Double DQN,30236,-96.0,-206.26514875983,48
Dueling Double DQN,30465,-76.0,-186.26231571176996,38
Dueling Double DQN,30694,-74.0,-184.29739797270946,37
Dueling Double DQN,30923,-68.0,-178.30767109421464,34
Dueling Double DQN,31152,-76.0,-186.30842588952456,38
Dueling Double DQN,31381,-80.0,-190.31551492151988,40
Dueling Double DQN,31610,-62.0,-172.2877602564604,31
Dueling Double DQN,31839,-64.0,-174.30983488231504,32
Dueling Double DQN,32068,-54.0,-164.30045430491677,27
Dueling Double DQN,32297,-80.0,-190.29894124531484,40
Dueling Double DQN,32526,-56.0,-166.15798281084346,38
Dueling Double DQN,32755,-74.0,-184.31023809663685,37
Dueling Double DQN,32984,-78.0,-188.2862034576729,39
Dueling Double DQN,33213,-48.0,-158.2961039029978,24
Dueling Double DQN,33442,-44.0,-154.28614584607433,32
Dueling Double DQN,33671,-64.0,-174.28115923599523,32
Dueling Double DQN,33900,-78.0,-188.3037058337557,39
Dueling Double DQN,34129,-52.0,-162.3137858825919,26
Dueling Double DQN,34358,-74.0,-184.30785702000117,37
Dueling Double DQN,34587,-60.0,-170.28340530718253,30
Dueling Double DQN,34816,-56.0,-166.28065159813227,28
Dueling Double DQN,35045,-66.0,-176.29959875123762,33
Dueling Double DQN,35274,-76.0,-186.29398533442486,38
Dueling Double DQN,35503,-58.0,-168.28587788992834,29
Dueling Double DQN,35732,-62.0,-172.2817431649048,31
Dueling Double DQN,35961,-84.0,-194.29557153556655,42
Dueling Double DQN,36190,-74.0,-184.30392008308928,37
Dueling Double DQN,36419,-62.0,-172.30106628961317,31
Dueling Double DQN,36648,-68.0,-178.29944577960208,34
Dueling Double DQN,36877,-30.0,-140.18299881984674,25
Dueling Double DQN,37106,-72.0,-182.29797689269338,36
Dueling Double DQN,37335,-88.0,-198.29447031119696,44
Dueling Double DQN,37564,-68.0,-178.2826024072071,44
Dueling Double DQN,37793,-72.0,-182.30149142366378,36
Dueling Double DQN,38022,-58.0,-168.30492660878508,29
Dueling Double DQN,38251,-80.0,-190.29248518619144,40
Dueling Double DQN,38480,-70.0,-180.29168921700756,35
Dueling Double DQN,38709,-72.0,-182.31625979359487,36
Dueling Double DQN,38938,-46.0,-156.2750644923381,23
Dueling Double DQN,39167,-68.0,-178.2809980411027,34
Dueling Double DQN,39396,-70.0,-180.29216594183055,35
Dueling Double DQN,39625,-96.0,-206.29219343827438,48
Dueling Double DQN,39854,-42.0,-152.29101546356102,31
Dueling Double DQN,40083,-94.0,-204.3046419177744,47
Dueling Double DQN,40312,-66.0,-176.31073220566657,33
Dueling Double DQN,40541,-60.0,-170.2933389325235,40
Dueling Double DQN,40770,-66.0,-176.30278712295188,33
Dueling Double DQN,40999,-46.0,-156.31903034306873,33
Dueling Double DQN,41228,-52.0,-162.2701179549718,26
Dueling Double DQN,41457,-70.0,-180.28792569976082,35
Dueling Double DQN,41686,-56.0,-166.29596136274512,38
Dueling Double DQN,41915,-58.0,-168.30358072125046,29
Dueling Double DQN,42144,-36.0,-146.26503961626193,28
Dueling Double DQN,42373,-84.0,-194.30100355892716,42
Dueling Double DQN,42602,-66.0,-176.3000796940687,33
Dueling Double DQN,42831,-64.0,-174.28345067161817,32
Dueling Double DQN,43060,-46.0,-156.1856615798294,33
Dueling Double DQN,43289,-64.0,-174.29256636031027,32
Dueling Double DQN,43518,-56.0,-166.292430510067,28
Dueling Double DQN,43747,-66.0,-176.29502044119516,33
Dueling Double DQN,43976,-84.0,-194.30071661799522,42
Dueling Double DQN,44205,-60.0,-170.28884064291321,40
Dueling Double DQN,44434,-76.0,-186.2905564834046,48
Dueling Double DQN,44663,-66.0,-176.31017135525605,33
Dueling Double DQN,44892,-72.0,-182.29731030868913,36
Dueling Double DQN,45121,-48.0,-158.29155030868466,24
Dueling Double DQN,45350,-58.0,-168.30273909166317,29
Dueling Double DQN,45579,-64.0,-174.2806162046768,32
Dueling Double DQN,45808,-58.0,-168.28040260872623,39
Dueling Double DQN,46037,-84.0,-194.30235426332996,42
Dueling Double DQN,46266,-50.0,-160.29042422114696,25
Dueling Double DQN,46495,-52.0,-162.29790771097748,36
Dueling Double DQN,46724,-58.0,-168.29194085414656,29
Dueling Double DQN,46953,-64.0,-174.2854154926411,42
Dueling Double DQN,47182,-66.0,-176.2949882283873,33
