model,timesteps,mean_score,max_score,min_score,mean_reward,mean_fires,mean_steps,mean_hit_rate,eval_episodes,action6_used
Dueling Double DQN,25000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,50000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,75000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,100000,-0.4,0.0,-2.0,-110.69348057798359,0.2,229.0,0.0,5,False
Dueling Double DQN,125000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,150000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,175000,-8.0,0.0,-24.0,-118.29348057798359,4.0,229.0,0.0,5,False
Dueling Double DQN,200000,-19.6,0.0,-78.0,-129.89348057798355,9.8,229.0,0.0,5,False
Dueling Double DQN,225000,-3.6,0.0,-10.0,-113.89348057798358,1.8,229.0,0.0,5,False
Dueling Double DQN,250000,-11.6,0.0,-28.0,-121.89348057798358,5.8,229.0,0.0,5,False
Dueling Double DQN,275000,-11.2,-4.0,-14.0,-121.49348057798359,5.6,229.0,0.0,5,False
Dueling Double DQN,300000,-6.4,0.0,-16.0,-116.69348057798359,3.2,229.0,0.0,5,False
Dueling Double DQN,325000,-7.2,0.0,-14.0,-117.49348057798359,3.6,229.0,0.0,5,False
Dueling Double DQN,350000,-3.6,0.0,-12.0,-113.89348057798358,1.8,229.0,0.0,5,False
Dueling Double DQN,375000,-6.0,0.0,-16.0,-116.29348057798359,3.0,229.0,0.0,5,False
Dueling Double DQN,400000,-10.0,-4.0,-14.0,-120.29348057798359,5.0,229.0,0.0,5,False
Dueling Double DQN,425000,-4.8,-2.0,-8.0,-115.09348057798358,2.4,229.0,0.0,5,False
Dueling Double DQN,450000,-5.2,-2.0,-8.0,-115.49348057798359,2.6,229.0,0.0,5,False
Dueling Double DQN,475000,-4.8,0.0,-10.0,-115.09348057798358,2.4,229.0,0.0,5,False
Dueling Double DQN,500000,-3.2,0.0,-4.0,-113.49348057798359,1.6,229.0,0.0,5,False
