model,timesteps,mean_score,max_score,min_score,mean_reward,mean_fires,mean_steps,mean_hit_rate,eval_episodes,action6_used
PPO,25000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,50000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,75000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,100000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,125000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,150000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,175000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,200000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,225000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,250000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,275000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,300000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,325000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,350000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,375000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,400000,-2.0,0.0,-6.0,-112.29348057798359,1.0,229.0,0.0,5,False
PPO,425000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,450000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,475000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
PPO,500000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
